# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 1.5, 'makespec': True, 'units': 'ev', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 100 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 1.5 eV 
# Spectrum generated with 2000 points.
#
#  Energy [eV]         Abs. [au]   
#----------------------------------
6.9466419047e+03    1.3823325053e-09
6.9466770518e+03    1.4365050896e-09
6.9467121989e+03    1.4402941270e-09
6.9467473460e+03    1.4586969579e-09
6.9467824931e+03    1.4764030965e-09
6.9468176402e+03    1.4938530141e-09
6.9468527873e+03    1.5249275039e-09
6.9468879344e+03    1.5289565558e-09
6.9469230815e+03    1.5452541614e-09
6.9469582286e+03    1.5705165987e-09
6.9469933757e+03    1.5746732044e-09
6.9470285228e+03    1.5897863993e-09
6.9470636699e+03    1.6288729115e-09
6.9470988170e+03    1.6332157483e-09
6.9471339641e+03    1.6492539266e-09
6.9471691112e+03    1.6536313542e-09
6.9472042583e+03    1.6912657050e-09
6.9472394054e+03    1.6957567147e-09
6.9472745525e+03    1.7202496955e-09
6.9473096996e+03    1.7404178587e-09
6.9473448467e+03    1.7730523763e-09
6.9473799938e+03    1.7834880696e-09
6.9474151409e+03    1.7882347776e-09
6.9474502880e+03    1.7930007776e-09
6.9474854351e+03    1.8027716238e-09
6.9475205822e+03    1.8839139764e-09
6.9475557293e+03    1.9042794155e-09
6.9475908764e+03    1.9093512670e-09
6.9476260235e+03    1.9268360738e-09
6.9476611706e+03    1.9319783896e-09
6.9476963177e+03    1.9371416726e-09
6.9477314648e+03    1.9560579806e-09
6.9477666119e+03    2.0107248744e-09
6.9478017590e+03    2.0161000708e-09
6.9478369061e+03    2.0214972271e-09
6.9478720532e+03    2.0598174831e-09
6.9479072003e+03    2.1036427233e-09
6.9479423474e+03    2.1092738526e-09
6.9479774945e+03    2.1149280253e-09
6.9480126416e+03    2.1206053697e-09
6.9480477887e+03    2.1263060152e-09
6.9480829358e+03    2.1320300920e-09
6.9481180829e+03    2.1377777312e-09
6.9481532300e+03    2.1435490649e-09
6.9481883771e+03    2.1493442261e-09
6.9482235242e+03    2.1551633487e-09
6.9482586713e+03    2.1610065678e-09
6.9482938184e+03    2.1668740192e-09
6.9483289655e+03    2.1727658397e-09
6.9483641126e+03    2.1786821674e-09
6.9483992597e+03    2.1846231410e-09
6.9484344068e+03    2.1905889005e-09
6.9484695539e+03    2.1965795867e-09
6.9485047010e+03    2.2025953416e-09
6.9485398481e+03    2.2086363081e-09
6.9485749952e+03    2.2147026302e-09
6.9486101423e+03    2.2207944530e-09
6.9486452894e+03    2.2269119226e-09
6.9486804365e+03    2.2330551862e-09
6.9487155836e+03    2.2392243919e-09
6.9487507307e+03    2.2454196893e-09
6.9487858778e+03    2.2516412287e-09
6.9488210249e+03    2.2578891617e-09
6.9488561720e+03    2.2641636410e-09
6.9488913191e+03    2.2704648204e-09
6.9489264662e+03    2.2767928549e-09
6.9489616133e+03    2.2831479006e-09
6.9489967604e+03    2.2895301147e-09
6.9490319075e+03    2.2959396557e-09
6.9490670546e+03    2.3023766833e-09
6.9491022017e+03    2.3088413582e-09
6.9491373488e+03    2.3153338424e-09
6.9491724959e+03    2.3218542993e-09
6.9492076430e+03    2.3284028933e-09
6.9492427901e+03    2.3349797901e-09
6.9492779372e+03    2.3415851566e-09
6.9493130843e+03    2.3482191611e-09
6.9493482314e+03    2.3548819731e-09
6.9493833785e+03    2.3615737634e-09
6.9494185256e+03    2.3682947040e-09
6.9494536727e+03    2.3750449683e-09
6.9494888198e+03    2.3818247311e-09
6.9495239669e+03    2.3886341683e-09
6.9495591140e+03    2.3954734574e-09
6.9495942611e+03    2.4023427772e-09
6.9496294082e+03    2.4092423077e-09
6.9496645553e+03    2.4161722305e-09
6.9496997024e+03    2.4231327285e-09
6.9497348495e+03    2.4301239859e-09
6.9497699966e+03    2.4371461886e-09
6.9498051437e+03    2.4441995238e-09
6.9498402908e+03    2.4512841800e-09
6.9498754379e+03    2.4584003473e-09
6.9499105850e+03    2.4655482174e-09
6.9499457321e+03    2.4727279834e-09
6.9499808792e+03    2.4799398398e-09
6.9500160263e+03    2.4871839827e-09
6.9500511734e+03    2.4944606098e-09
6.9500863205e+03    2.5017699202e-09
6.9501214676e+03    2.5091121149e-09
6.9501566147e+03    2.5164873960e-09
6.9501917618e+03    2.5238959676e-09
6.9502269089e+03    2.5313380353e-09
6.9502620560e+03    2.5388138062e-09
6.9502972031e+03    2.5463234892e-09
6.9503323502e+03    2.5538672948e-09
6.9503674973e+03    2.5614454351e-09
6.9504026444e+03    2.5690581241e-09
6.9504377915e+03    2.5767055774e-09
6.9504729386e+03    2.5843880122e-09
6.9505080857e+03    2.5921056477e-09
6.9505432328e+03    2.5998587047e-09
6.9505783799e+03    2.6076474057e-09
6.9506135270e+03    2.6154719753e-09
6.9506486741e+03    2.6233326395e-09
6.9506838212e+03    2.6312296266e-09
6.9507189683e+03    2.6391631663e-09
6.9507541154e+03    2.6471334906e-09
6.9507892625e+03    2.6551408330e-09
6.9508244096e+03    2.6631854291e-09
6.9508595567e+03    2.6712675165e-09
6.9508947038e+03    2.6793873347e-09
6.9509298509e+03    2.6875451249e-09
6.9509649980e+03    2.6957411308e-09
6.9510001451e+03    2.7039755976e-09
6.9510352922e+03    2.7122487729e-09
6.9510704393e+03    2.7205609062e-09
6.9511055864e+03    2.7289122489e-09
6.9511407335e+03    2.7373030549e-09
6.9511758806e+03    2.7457335798e-09
6.9512110277e+03    2.7542040816e-09
6.9512461748e+03    2.7627148204e-09
6.9512813219e+03    2.7712660583e-09
6.9513164690e+03    2.7798580599e-09
6.9513516161e+03    2.7884910918e-09
6.9513867632e+03    2.7971654229e-09
6.9514219103e+03    2.8058813245e-09
6.9514570574e+03    2.8146390700e-09
6.9514922045e+03    2.8234389352e-09
6.9515273516e+03    2.8322811983e-09
6.9515624987e+03    2.8411661397e-09
6.9515976458e+03    2.8500940425e-09
6.9516327929e+03    2.8590651918e-09
6.9516679400e+03    2.8680798756e-09
6.9517030871e+03    2.8771383840e-09
6.9517382342e+03    2.8862410097e-09
6.9517733813e+03    2.8953880481e-09
6.9518085284e+03    2.9045797968e-09
6.9518436755e+03    2.9138165564e-09
6.9518788226e+03    2.9230986298e-09
6.9519139697e+03    2.9324263225e-09
6.9519491168e+03    2.9417999429e-09
6.9519842639e+03    2.9512198020e-09
6.9520194110e+03    2.9606862134e-09
6.9520545581e+03    2.9701994936e-09
6.9520897052e+03    2.9797599617e-09
6.9521248523e+03    2.9893679397e-09
6.9521599994e+03    2.9990237527e-09
6.9521951465e+03    3.0087277281e-09
6.9522302936e+03    3.0184801967e-09
6.9522654407e+03    3.0282814921e-09
6.9523005878e+03    3.0381319507e-09
6.9523357349e+03    3.0480319120e-09
6.9523708820e+03    3.0579817186e-09
6.9524060291e+03    3.0679817161e-09
6.9524411762e+03    3.0780322533e-09
6.9524763233e+03    3.0881336818e-09
6.9525114704e+03    3.0982863569e-09
6.9525466175e+03    3.1084906365e-09
6.9525817646e+03    3.1187468823e-09
6.9526169117e+03    3.1290554588e-09
6.9526520588e+03    3.1394167342e-09
6.9526872059e+03    3.1498310798e-09
6.9527223530e+03    3.1602988704e-09
6.9527575001e+03    3.1708204842e-09
6.9527926472e+03    3.1813963027e-09
6.9528277943e+03    3.1920267113e-09
6.9528629414e+03    3.2027120984e-09
6.9528980885e+03    3.2134528566e-09
6.9529332356e+03    3.2242493816e-09
6.9529683827e+03    3.2351020730e-09
6.9530035298e+03    3.2460113341e-09
6.9530386769e+03    3.2569775719e-09
6.9530738240e+03    3.2680011972e-09
6.9531089711e+03    3.2790826248e-09
6.9531441182e+03    3.2902222731e-09
6.9531792653e+03    3.3014205646e-09
6.9532144124e+03    3.3126779258e-09
6.9532495595e+03    3.3239947870e-09
6.9532847066e+03    3.3353715830e-09
6.9533198537e+03    3.3468087522e-09
6.9533550008e+03    3.3583067376e-09
6.9533901479e+03    3.3698659860e-09
6.9534252950e+03    3.3814869489e-09
6.9534604421e+03    3.3931700818e-09
6.9534955892e+03    3.4049158446e-09
6.9535307363e+03    3.4167247018e-09
